Zip.Code,Population,Growth.Rate,Med.HH.Inc,Avg.HH.Inc,Med.Age,Households,HH.Size,Health.Insurance,HS.Diploma,Bachelor.Degree,Grad.Degree,Businesses,Diversity.Index,Dental.Services,Management,Finance,Computer,Engineering,Social.Science,Community.Service,Legal,Education,Arts,Healthcare,Healthcare.Support,Protective.Service,Food.Prep,Maintenance,Personal.Care,Sales,Office.Admin,Farming,Construction,Repair,Production,Transportation
84747 (Loa),1019.00,0.00,47435.00,60897.00,29.90,343.00,2.95,928976.00,115.00,68.00,43.00,76.00,22.40,92600.00,70.00,23.00,1.00,3.00,3.00,9.00,0.00,46.00,8.00,30.00,14.00,4.00,38.00,20.00,6.00,42.00,109.00,9.00,71.00,12.00,28.00,48.00
84739 (Joseph),453.00,0.00,52505.00,63327.00,38.50,148.00,3.06,510195.00,120.00,13.00,8.00,13.00,29.10,46299.00,10.00,1.00,0.00,1.00,1.00,2.00,1.00,3.00,2.00,4.00,5.00,8.00,31.00,5.00,1.00,9.00,29.00,43.00,21.00,14.00,15.00,13.00
84750 (Marysvale),467.00,0.00,39574.00,50309.00,49.00,186.00,2.39,509420.00,92.00,28.00,46.00,33.00,7.90,46899.00,15.00,5.00,0.00,0.00,0.00,7.00,0.00,46.00,1.00,0.00,0.00,7.00,15.00,19.00,0.00,9.00,14.00,4.00,11.00,1.00,5.00,5.00
84751 (Milford),1832.00,0.00,44770.00,57515.00,31.90,627.00,2.90,1963066.00,397.00,212.00,85.00,95.00,39.00,178154.00,94.00,34.00,0.00,0.00,13.00,8.00,0.00,21.00,0.00,62.00,17.00,35.00,71.00,16.00,67.00,41.00,85.00,73.00,36.00,33.00,54.00,178.00
84752 (Minersville),900.00,0.00,57033.00,71136.00,30.50,266.00,3.38,1030047.00,212.00,57.00,23.00,28.00,40.20,93475.00,41.00,5.00,0.00,0.00,1.00,1.00,0.00,48.00,2.00,23.00,11.00,10.00,19.00,2.00,10.00,54.00,61.00,67.00,1.00,33.00,10.00,26.00
84753 (Modena),21.00,0.00,51632.00,57954.00,28.80,11.00,1.91,30520.00,2.00,3.00,1.00,2.00,24.90,2913.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,2.00
84754 (Monroe),3496.00,0.00,49242.00,58370.00,36.50,1230.00,2.79,3674590.00,721.00,230.00,144.00,78.00,22.00,351848.00,144.00,17.00,20.00,30.00,13.00,12.00,7.00,86.00,5.00,131.00,41.00,51.00,101.00,61.00,60.00,102.00,228.00,46.00,81.00,55.00,74.00,76.00
84755 (Mount Carmel),55.00,0.00,47480.00,54564.00,44.20,21.00,2.62,57883.00,8.00,6.00,3.00,17.00,16.80,5656.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,2.00,1.00,2.00,1.00,1.00,3.00
84756 (Newcastle),303.00,0.00,40757.00,54671.00,31.50,94.00,3.21,246550.00,33.00,38.00,9.00,5.00,48.30,22584.00,11.00,0.00,1.00,0.00,1.00,0.00,0.00,18.00,0.00,0.00,3.00,0.00,3.00,0.00,2.00,12.00,3.00,13.00,0.00,10.00,11.00,25.00
84757 (New Harmony),1265.00,0.02,64644.00,78342.00,49.00,470.00,2.69,1678135.00,156.00,182.00,204.00,31.00,16.20,175332.00,33.00,8.00,34.00,28.00,0.00,1.00,0.00,15.00,6.00,25.00,6.00,2.00,11.00,27.00,37.00,66.00,81.00,0.00,41.00,24.00,54.00,29.00
